data_name,price,links,index_,discount_list,discount_percent,Gift_list,RAM_SSD,Evaluate_list,Evaluate_count_list
Dell Inspiron 15 3530 i5 1334U (N5I5340W1),18.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n5i5340w1,72,19.990.000₫,-7%,100.000₫,RAM 16 GB SSD 512 GB,,
Asus Gaming Vivobook K3605ZC i5 12500H (RP629W),19.490.000₫,https://www.thegioididong.com/laptop/asus-vivobook-k3605zc-i5-rp629w?utm_flashsale=1,73,24.990.000₫,-22%,1.090.000₫,RAM 16 GB SSD 512 GB,,
Asus Vivobook 15 OLED A1505VA i5 13500H (L1341W),17.690.000₫,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i5-l1341w?utm_flashsale=1,74,19.990.000₫,-11%,1.090.000₫,RAM 16 GB SSD 512 GB,4.1,21 đánh giá
HP Pavilion 15 eg2088TU i7 1260P (7C0R0PA),21.090.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2088tu-i7-7c0r0pa,75,25.290.000₫,-16%,1.190.000₫,RAM 16 GB SSD 512 GB,4.5,17 đánh giá
Acer Aspire Lite 15 51M 55NB i5 1155G7 (NX.KRSSV.001),11.490.000₫,https://www.thegioididong.com/laptop/acer-aspire-lite-15-51m-55nb-i5-nxkrssv001,76,12.990.000₫,-11%,1.090.000₫,RAM 8 GB SSD 512 GB,3,2 đánh giá
Acer Gaming Aspire 5 A515 58GM 53PZ i5 13420H (NX.KQ4SV.008),15.990.000₫,https://www.thegioididong.com/laptop/acer-aspire-a515-58gm-53pz-i5-nxkq4sv008,77,20.490.000₫,-21%,1.890.000₫,RAM 8 GB SSD 512 GB,3,1 đánh giá
HP 240 G9 i5 1235U (6L1Y2PA),15.590.000₫,https://www.thegioididong.com/laptop/hp-240-g9-i5-6l1y2pa,78,18.590.000₫,-16%,1.190.000₫,RAM 8 GB SSD 512 GB,4.4,54 đánh giá
MSI Modern 14 C13M i5 1335U (611VN),13.490.000₫,https://www.thegioididong.com/laptop/msi-modern-14-c13m-i5-611vn,79,18.490.000₫,-27%,1.090.000₫,RAM 16 GB SSD 512 GB,,
MacBook Air 13 inch M3,26.990.000₫,https://www.thegioididong.com/laptop/macbook-air-13-inch-m3-2024,80,,,,RAM 8 GB SSD 256 GB,,
Lenovo IdeaPad 1 15AMN7 R5 7520U (82VG0061VN),9.490.000₫,https://www.thegioididong.com/laptop/lenovo-ideapad-1-15amn7-r5-82vg0061vn,81,12.690.000₫,-25%,1.090.000₫,RAM 8 GB SSD 256 GB,4.2,61 đánh giá
